epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5926,1.45531,3.36383,1.40217,0.00752,0.81535,0.3827,0.28422,0.99142,3.32069,1.1997,0.00015003,0.00015003,0.00015003
2,174.83,1.34903,2.69441,1.31677,1,0.03487,0.43242,0.29997,1.01763,3.18334,1.23839,0.000285374,0.000285374,0.000285374
3,269.245,1.3158,2.3844,1.34426,1,0.08302,0.41281,0.28592,1.15135,3.21008,1.33604,0.000387711,0.000387711,0.000387711
4,391.518,1.39405,2.257,1.42544,1,0.16629,0.441,0.29721,1.26212,3.15711,1.40714,0.000457041,0.000457041,0.000457041
5,526.122,1.3862,2.17588,1.36964,0.63282,0.12523,0.4366,0.24686,1.31501,3.13029,1.48674,0.000493365,0.000493365,0.000493365
6,660.745,1.39115,1.98094,1.33495,0.727,0.26939,0.48222,0.30991,1.25682,2.99431,1.44966,0.000496683,0.000496683,0.000496683
7,809.508,1.30184,1.94842,1.30661,0.62489,0.40991,0.47642,0.30985,1.37569,2.81459,1.5484,0.000466993,0.000466993,0.000466993
8,954.183,1.2507,2.01568,1.32502,0.52496,0.46353,0.47704,0.31204,1.35428,2.77871,1.4572,0.000404298,0.000404298,0.000404298
9,1107.78,1.2243,1.94993,1.27029,0.54211,0.46161,0.4701,0.30016,1.37689,2.72217,1.50032,0.000308595,0.000308595,0.000308595
10,1267.59,1.27835,1.8752,1.27825,0.68329,0.46353,0.51533,0.31802,1.42444,2.57058,1.59152,0.000179886,0.000179886,0.000179886
